Wavelength	GRA-VIE-00145.asd
1010	 0,17612223062358 
1011	 0,180167914274363 
1012	 0,179421155384097 
1013	 0,178446341583305 
1014	 0,178648939882784 
1015	 0,176723253023886 
1016	 0,177082945700222 
1017	 0,182486352768082 
1018	 0,182806618368952 
1019	 0,179508098454171 
1020	 0,177114792470427 
1021	 0,177390091568298 
1022	 0,179273370591775 
1023	 0,177820858540458 
1024	 0,178809830053443 
1025	 0,182576805102469 
1026	 0,181824131207855 
1027	 0,180001531736223 
1028	 0,179506930047663 
1029	 0,179013898992353 
1030	 0,179047864299355 
1031	 0,180527270367239 
1032	 0,187706608325301 
1033	 0,194260989064078 
1034	 0,186744022333574 
1035	 0,184005821335133 
1036	 0,187487211926085 
1037	 0,181749065556822 
1038	 0,177516901420216 
1039	 0,179967376654557 
1040	 0,1876451207779 
1041	 0,191977621380273 
1042	 0,187630297125267 
1043	 0,190732191057271 
1044	 0,1945315414779 
1045	 0,187488037952244 
1046	 0,179658765510551 
1047	 0,17509999235012 
1048	 0,177659740214776 
1049	 0,180370281382559 
1050	 0,182470658437308 
1051	 0,191160791539281 
1052	 0,1972987676611 
1053	 0,19567139064987 
1054	 0,186747269236762 
1055	 0,177419889508486 
1056	 0,174686154829389 
1057	 0,185195372299228 
1058	 0,196157731485386 
1059	 0,190047432958016 
1060	 0,184928714328261 
1061	 0,184269400790794 
1062	 0,186230441879178 
1063	 0,188277035065459 
1064	 0,18928326952986 
1065	 0,189406147351311 
1066	 0,188503935953949 
1067	 0,187519414921156 
1068	 0,191847497543154 
1069	 0,19301486146352 
1070	 0,184293263056783 
1071	 0,165076783818304 
1072	 0,158538105244984 
1073	 0,186597784987305 
1074	 0,192613009496865 
1075	 0,183040364527655 
